metric,value
start,2020-01-01 00:00:00
end,2025-04-01 23:50:00
period_start,72684
period_end,276190
start_value,10000
end_value,3047.154216527858
total_return,-0.6952845783472142
benchmark_return,10.893951156848235
max_gross_exposure,20.278106166735224
total_fees_paid,0
max_drawdown,0.8285410264243674
max_drawdown_duration,1413 days 05:40:00
total_trades,21865
total_closed_trades,21865
total_open_trades,0
open_trade_pnl,0
win_rate,0.33180882689229363
best_trade,13.998354114967373
worst_trade,-8.558689419105482
avg_winning_trade,0.8386824196577763
avg_losing_trade,-0.417892426223536
avg_winning_trade_duration,0 days 00:00:00
avg_losing_trade_duration,0 days 00:00:00
profit_factor,0.9821628180249887
expectancy,-0.3179897454137688
sharpe_ratio,-0.027854903451831673
calmar_ratio,-0.2444012041856873
omega_ratio,0.9995901515784185
sortino_ratio,-0.03725582763278406
exit_reasons_signal,21188
exit_reasons_trailing_stop,676
exit_reasons_end_of_data,1
