Metric,Value
Start,2020-01-01 00:00:00
End,2025-04-01 23:50:00
Period,"{'start': 72684, 'end': 276190}"
Start Value,10000.000000
End Value,3047.154217
Total Return [%],-69.528458
Benchmark Return [%],1089.395116
Max Gross Exposure [%],2027.810617
Total Fees Paid,0.000000
Max Drawdown [%],82.854103
Max Drawdown Duration,1413 days 05:40:00
Total Trades,21865
Total Closed Trades,21865
Total Open Trades,0
Open Trade PnL,0.000000
Win Rate [%],33.180883
Best Trade [%],13.998354
Worst Trade [%],-8.558689
Avg Winning Trade [%],0.838682
Avg Losing Trade [%],-0.417892
Avg Winning Trade Duration,0 days 00:00:00
Avg Losing Trade Duration,0 days 00:00:00
Profit Factor,0.982163
Expectancy,-0.317990
Sharpe Ratio,-0.027855
Calmar Ratio,-0.244401
Omega Ratio,0.999590
Sortino Ratio,-0.037256
