metric,value
start,2020-01-01 00:00:00
end,2025-04-01 23:50:00
period_start,71115
period_end,276190
start_value,10000
end_value,25330.31497423143
total_return,1.5330314974231432
benchmark_return,10.893951156848235
max_gross_exposure,17.00425900422296
total_fees_paid,0
max_drawdown,0.6752643077188558
max_drawdown_duration,1424 days 03:10:00
total_trades,10932
total_closed_trades,10932
total_open_trades,0
open_trade_pnl,0
win_rate,0.3403768752286864
best_trade,11.705132119674087
worst_trade,-7.546229336732601
avg_winning_trade,0.8502063073489231
avg_losing_trade,-0.4188041787035959
avg_winning_trade_duration,0 days 00:00:00
avg_losing_trade_duration,0 days 00:00:00
profit_factor,1.0267826292235385
expectancy,1.4023339712981695
sharpe_ratio,0.6180101380049349
calmar_ratio,0.28668233170414825
omega_ratio,1.0129166994943914
sortino_ratio,0.5758884885054827
exit_reasons_signal,10614
exit_reasons_trailing_stop,318
