Metric,Value
Start,2020-01-01 00:00:00
End,2025-04-01 23:50:00
Period,"{'start': 71115, 'end': 276190}"
Start Value,10000.000000
End Value,25330.314974
Total Return [%],153.303150
Benchmark Return [%],1089.395116
Max Gross Exposure [%],1700.425900
Total Fees Paid,0.000000
Max Drawdown [%],67.526431
Max Drawdown Duration,1424 days 03:10:00
Total Trades,10932
Total Closed Trades,10932
Total Open Trades,0
Open Trade PnL,0.000000
Win Rate [%],34.037688
Best Trade [%],11.705132
Worst Trade [%],-7.546229
Avg Winning Trade [%],0.850206
Avg Losing Trade [%],-0.418804
Avg Winning Trade Duration,0 days 00:00:00
Avg Losing Trade Duration,0 days 00:00:00
Profit Factor,1.026783
Expectancy,1.402334
Sharpe Ratio,0.618010
Calmar Ratio,0.286682
Omega Ratio,1.012917
Sortino Ratio,0.575888
